,tag_id,parent_id,child_id
0,1,1330,None
1,2,1330,None
2,3,99,None
3,4,346,None
4,5,327,None
5,6,272,None
6,7,1153,None
7,8,1307,None
8,9,1329,None
9,10,1329,None
10,11,660,None
11,12,1329,None
12,13,1489,None
13,14,616,None
14,15,1582,None
15,16,865,None
16,16,1329,None
17,17,551,None
18,18,1329,None
19,19,630,None
20,20,1329,None
21,21,1329,None
22,22,1329,None
23,23,1329,None
24,24,406,None
25,25,660,None
26,26,616,27
27,26,616,770
28,26,616,777
29,26,614,27
30,26,614,770
31,26,614,777
32,27,26,None
33,27,26,None
34,28,1776,None
35,29,682,None
36,30,1236,None
37,31,883,311
38,32,682,None
39,33,41,None
40,34,660,None
41,35,248,None
42,35,1433,None
43,36,584,None
44,37,248,None
45,38,660,None
46,39,122,119
47,40,122,879
48,40,122,887
49,41,122,33
50,41,122,1308
51,42,122,584
52,43,122,59
53,43,122,148
54,43,122,225
55,43,122,312
56,43,122,729
57,43,122,814
58,43,122,830
59,43,122,1164
60,43,122,1306
61,44,879,None
62,45,1153,813
63,45,1153,1080
64,46,1329,None
65,47,1329,None
66,48,1329,None
67,49,272,None
68,50,1365,None
69,51,1236,None
70,51,1329,None
71,52,1329,None
72,53,1550,486
73,53,1550,539
74,53,1550,962
75,53,1550,963
76,53,1550,1328
77,53,1550,1552
78,54,1329,None
79,55,1329,None
80,56,1329,None
81,57,660,None
82,58,1386,None
83,59,43,None
84,60,1793,None
85,61,1793,None
86,62,1329,None
87,63,1329,None
88,64,1329,None
89,65,887,None
90,66,1428,None
91,67,1167,None
92,68,1692,None
93,69,391,None
94,70,1365,None
95,71,1365,None
96,72,1365,None
97,73,99,None
98,74,838,None
99,75,1329,None
100,76,1236,None
101,77,1236,None
102,78,1331,None
103,78,1805,941
104,78,1805,1058
105,79,99,None
106,80,1705,None
107,81,1148,None
108,82,1329,None
109,83,1329,None
110,84,1329,None
111,85,1365,None
112,86,1705,None
113,87,1329,None
114,88,1329,None
115,89,1329,None
116,90,1272,None
117,91,1307,None
118,91,1329,None
119,92,1329,None
120,93,1329,None
121,94,1272,None
122,95,1329,None
123,96,327,None
124,97,1292,428
125,97,1292,524
126,97,1292,614
127,97,1292,739
128,97,1292,758
129,97,1292,796
130,97,1292,1298
131,97,1292,1709
132,98,452,345
133,98,452,1234
134,99,345,3
135,99,345,142
136,99,345,143
137,99,345,144
138,99,345,149
139,99,345,156
140,99,345,158
141,99,345,160
142,99,345,273
143,99,345,292
144,99,345,344
145,99,345,381
146,99,345,424
147,99,345,483
148,99,345,503
149,99,345,600
150,99,345,676
151,99,345,712
152,99,345,715
153,99,345,835
154,99,345,841
155,99,345,844
156,99,345,847
157,99,345,880
158,99,345,888
159,99,345,904
160,99,345,1097
161,99,345,1175
162,99,345,1244
163,99,345,1291
164,99,345,1313
165,99,345,1314
166,99,345,1317
167,99,345,1356
168,99,345,1359
169,99,345,1370
170,99,345,1486
171,99,345,1503
172,99,345,1619
173,99,345,1771
174,99,345,1772
175,99,345,1823
176,99,345,1824
177,99,345,1828
178,99,345,1832
179,99,345,1841
180,99,345,1842
181,99,345,1854
182,99,1292,73
183,99,1292,150
184,99,1292,160
185,99,1292,376
186,99,1292,597
187,99,1292,718
188,99,1292,840
189,99,1292,846
190,99,1292,1102
191,99,1292,1290
192,99,1292,1314
193,99,1292,1356
194,99,1292,1830
195,99,1292,1839
196,99,1550,79
197,99,1550,1292
198,99,1550,1524
199,99,1550,1525
200,99,1550,1554
201,99,1550,1555
202,99,1550,1556
203,100,1081,219
204,100,1081,345
205,100,1081,419
206,100,1081,430
207,100,1081,542
208,100,1081,901
209,100,1081,1235
210,100,1081,1353
211,100,1081,1480
212,100,1081,1560
213,101,1234,147
214,101,1234,156
215,101,1234,159
216,101,1234,162
217,101,1234,391
218,101,1234,477
219,101,1234,643
220,101,1234,644
221,101,1234,744
222,101,1234,871
223,101,1234,1094
224,101,1234,1238
225,101,1234,1239
226,101,1234,1315
227,101,1234,1450
228,101,1234,1588
229,101,1234,1632
230,101,1234,1642
231,101,1234,1644
232,101,1234,1746
233,101,1234,1748
234,102,1043,209
235,102,1043,351
236,102,1043,383
237,102,1043,487
238,102,1043,645
239,102,1043,891
240,102,1043,979
241,102,1043,984
242,102,1043,985
243,102,1043,986
